IO ID,Name,"Size, B",Type,Min. Value,Max. Value,Multiplier; offset,Units,Error values,IO Explanation and Notes,Averaging,Event On Change,Event On Hysteresis,Eco5,Plug5,HCV5 Lite / Pro5 Lite,Pro5,HCV5,LCV5,Trace5-LTM / Trace5-LTM-NA,Trace5-LTE / Trace5-LTM (Rev.A) / Trace5-2G,Basic,ECO4 UBI,Eco4,Eco4 S,Eco4 T,Eco4 RS T,Pro4,Tco4 HCV,Tco4 LCV,Plug4,Pro4 BT,Tco4 HCV BT,Tco4 LCV BT,Eco3,Pro3,Tco3 TCO,Tco3 OBD
236,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Virtual ignition,1,Unsigned int.,0,1,-,-,-,"0 – engine OFF, 1 – engine ON",Debouncing,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,
252,SD Log record Marker,1,Unsigned int.,-,-,-,-,-,Marker for log entry on SD card (for separate from standard records),No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
253,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Tire 1,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
257,Tire 2,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
258,Tire 3,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
259,Tire 4,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
260,Tire 5,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
261,Tire 6,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
262,Tire 7,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
263,Tire 8,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
264,Tire 9,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
265,Tire 10,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
266,Tire 11,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
267,Tire 12,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
268,Tire 13,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
269,Tire 14,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
270,Tire 15,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
271,Tire 16,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
272,Tire 17,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
273,Tire 18,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
274,Tire 19,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
275,Tire 20,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
276,Tire 21,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
277,Tire 22,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
278,Tire 23,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
279,Tire 24,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
280,Tire 25,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
281,Tire 26,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
282,Tire 27,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
283,Tire 28,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
284,Tire 29,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
285,Tire 30,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
286,Tire 31,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
287,Tire 32,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
288,Tire 33,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
289,Tire 34,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
290,Tire 35,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
291,Tire 36,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Description in ""Additional_IO_explanation"" sheet",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
292,TellTale air conditioning,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
293,TellTale high beam,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
294,TellTale low beam dipped beam,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
295,TellTale turn signals,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
296,TellTale hazard warning,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
297,TellTale provision for disabled or handicapped,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
298,TellTale parking brake,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
299,TellTale brake failure/brake system malfunction,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
300,TellTale hatch open,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
301,TellTale fuel level,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
302,TellTale engine coolant temperature TTS,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
303,TellTale battery charging condition,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
304,TellTale engine oil,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
305,TellTale position lights,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
306,TellTale front fog light,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
307,TellTale rear fog light,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
308,TellTale park heating,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
309,TellTale engine,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
310,TellTale service,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
311,TellTale transmission fluid temperature,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
312,TellTale transmission failure/malfunction,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
313,TellTale anti-lock brake system failure,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
314,TellTale worn brake linings,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
315,TellTale washer fluid,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
316,TellTale tire failure/malfunction,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
317,TellTale malfunction/general failure,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
318,TellTale engine oil temperature,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
319,TellTale engine oil level,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
320,TellTale engine coolant level,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
321,TellTale steering fluid level,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
322,TellTale steering failure,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
323,TellTale height control (leveling),1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
324,TellTale retarder,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
325,TellTale engine emission system failure,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
326,TellTale ESP indication,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
327,TellTale brake lights,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
328,TellTale articulation,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
329,TellTale stop request,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
330,TellTale pram request,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
331,TellTale bus stop brake,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
332,TellTale ad blue level,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
333,TellTale raising,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
334,TellTale lowering,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
335,TellTale kneeling,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
336,TellTale engine compartment temperature,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
337,TellTale auxillary air pressure,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
338,TellTale air filter clogged,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
339,TellTale fuel filter differential pressure,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
340,TellTale seat belt,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
341,TellTale EBS,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
342,TellTale lane departure indication,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
343,TellTale advanced emergency braking system,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
344,TellTale ACC,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
345,TellTale trailer connected,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
346,TellTale ABS trailer,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
347,TellTale airbag,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
348,TellTale EBS trailer,1,Unsigned int.,0,7,-,-,-,"FMS Tell Tale Status: 0=off, 1=red, 2=yellow, 3=info, 7=not available",No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
